"Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"Jake Kumerow (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"DeAndre Carter (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Neal Sterling (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Da'Ron Brown (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Chris Conley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"Lucky Whitehead (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Geremy Davis (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Larry Pinkard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Kaelin Clay (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Damiere Byrd (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"DeAndre Smelter (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"J.J. Nelson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5%"
"Chris Harper (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Quan Bray (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Eli Rogers (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"Tyrell Williams (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.4%"
"Rasheed Bailey (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cameron Meredith (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.8%"
"Jordan Leslie (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Donteea Dye (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
