"Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"Quayvon Hicks (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Cedric O'Neal (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Joe Kerridge (GB)","1","0","0.0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"CJ Ham (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Jalen Simmons (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Elijhaa Penny (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tre Madden (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Dalvin Cook (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.0%"
"Leonard Fournette (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.0%"
"Christian McCaffrey (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.0%"
"D'Onta Foreman (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"Joe Mixon (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.0%"
"Alvin Kamara (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.0%"
"Wayne Gallman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"Samaje Perine (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.0%"
"Jamaal Williams (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.0%"
"Kareem Hunt (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.0%"
"Marlon Mack (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.0%"
"Jeremy McNichols (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"Corey Clement (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"James Conner (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"Brian Hill (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"Tarik Cohen (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"Joe Williams (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.0%"
"Elijah Hood (OAK)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"Elijah McGuire (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"Brandon Wilson (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"T.J. Logan (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"Austin Ekeler (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Tion Green (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"Sam Rogers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
